tx_id,fund_id
T54E8F1697B69,IE00BD0NCN62
T98F6030D82C5,LU0303706948
T474C23F001BC,LU0303706948
TE750189DAFF1,LU0996175948
T07D3F5FD6867,LU0996175948
T44D6337E14C8,LU0303706948
T6B3CAD3F0D66,LU0996175948
T41FB70752662,LU0996175948
TCFE680C9DA45,LU0996175948
T8CC5C8806597,LU0303706948
T3B9814E2E74C,IE00BD0NCN62
T9075A6AD17F7,LU0303706948
TD286A798D930,LU0303706948
TD62D1390213D,IE00BD0NCN62
T77B89189E5DD,IE00BD0NCN62
T73944D3C1C46,LU0303706948
T60BCAB9D3C90,LU0303706948
T4F15C01066A6,LU0252964944
T61149EA469B5,LU0252964944
T13D1E5D19679,IE00BD0NCN62
TF36A4B90726A,IE00BD0NCN62
TF7BC6134E4B8,LU0252964944
T1542FD2CBE38,LU0252964944
T52551481C929,LU0252964944
TB414AC5A02E8,LU0252964944
T06348AF2E723,IE00BD0NCN62
TD30C2576F6CF,LU0252964944
TBC772FDDB2CC,LU0252964944
T8E911EB33156,LU0252964944
TDC0EEECA6CD2,LU0252964944
T105268D1621C,LU0252964944
TFC9071E86D04,ES0172242002
TE69AC13C0E67,LU0252964944
T6997ADD16802,IE00BD0NCN62
TB6E232889D15,LU0252964944
T8AE2146EDA7D,IE00BD0NCN62
TC01CB807A6AA,LU0252964944
T13F93E8A0583,IE00BYX5M476
T200A76517FB9,ES0172242002
T58577F1702A9,IE00BYX5M476
T3CD558CF84C5,IE00BYX5M476
TF31F7CA9D065,ES0172242002
T1E4F1CACF5DE,IE00BYX5M476
T93006DC145B7,LU2349459045
TFB51EDDFD3BD,ES0110119031
T610536B4D05A,IE00BYX5M476
TA788A77362A1,IE00BYX5M476
TAD1EF7AFDD43,ES0172242002
T5D4AA922FB72,IE00BYX5M476
T150D28A82C4D,IE00BYX5M476
T75499812E3BE,IE00BD0NCN62
TE7F90BA38DEE,IE00BYX5M476
TBCCACE905C6D,IE00BYX5M476
T239D86588536,IE00BYX5M476
T4F34D5A84678,IE00BYX5M476
TDA93DCE1DC00,IE00BYX5M476
T3024E4FEBE03,IE00BD0NCN62
T5B550C6EBB2A,IE00BFPM9N11
T67E72A28E306,IE00BYX5M476
T8D36D888C0BD,IE00BYX5M476
T504C002839F0,IE00BYX5M476
T6EAAB5C08C36,IE00BD0NCN62
TBF7585491544,IE00BYX5M476
T4959A03B6283,IE00BYX5M476
TE31D112F974E,ES0110119031
TCA35E7E2F99D,IE00BFPM9N11
T4978ECBA1FCA,IE00BYX5M476
TA430ABC70258,IE00BYX5M476
TE910ACFCE2AC,IE00BD0NCN62
T05CECCF2A6CF,LU0996175948
TA8A0D6C14396,LU2349459045
T71F0152EA12E,ES0172242002
T42ED967FDADB,IE00BFPM9N11
T26C5B8B01210,ES0172242002
TD1695D72214C,LU2349459045
T0D0FAA1E7EA7,ES0172242002
T65F65BCE0DB1,LU2349459045
T7D4877CCC29A,LU2349459045
T5B2B074B5B1B,LU2349459045
T8ADE89F9E2AA,LU2349459045
T1742E19A7D80,ES0172242002
T7EA81B3367F3,LU0996175948
T6D30E3106841,ES0172242002
T9E1714310378,LU0996175948
T5480081A17F7,ES0172242002
T0421A293DB84,LU2349459045
T2FACEEE72DD9,LU2349459045
T6D60103BCF18,LU2349459045
TE340150CEB4C,LU2349459045
TBE945613CBAD,LU0996175948
T8698415C1DEB,ES0172242002
T092AFD0F38AD,ES0172242002
TF519A6AD7F37,ES0172242002
T341F0BE4AFEC,LU2349459045
T664F88B350E7,LU0996175948
TE5761A79D3C2,LU0252964944
T58D31524DF9E,IE00BYX5M476
T1147E3204F27,IE00BYX5M476
T97E3949A92E8,LU0252964944
T4F1E6A4F5600,LU2349459045
T7CC7653CE77E,IE00BYX5M476
T5AD1CD5A1820,ES0110119031
TF56DA17EFA53,ES0110119031
TDCC024DD3070,LU0252964944
T805CFE943BF5,LU2349459045
TD3A150E6F3E6,LU0252964944
TF3624D0028B0,IE00BYX5M476
T0DCB5AD1FDF7,LU0252964944
TF1431EE02FEB,LU0252964944
T3266E938D7D3,LU0252964944
TA0F527515287,IE00BD0NCN62
T82FCB614CD90,LU0303706948
T8EAE22BE97B8,LU0303706948
TF3B97055D0D3,LU0303706948
T4FB5CB1E8CA2,LU0303706948
TD7BD082E9F5F,IE00BFPM9N11
T544B9EDCE1A9,LU0303706948
T16279C2E24DD,IE00BFPM9N11
T00DE2F83B0A0,LU0303706948
TA69F6006594A,LU0303706948
T06737875EC6B,IE00BD0NCN62
T95284C0C680B,IE00BFPM9N11
T4D242E6F04F5,IE00BD0NCN62
TB3ECAA278D6B,LU0303706948
T88D06BD63F3E,LU0303706948
T63E9122CFD75,IE00BFPM9N11
TAC6A1F427963,IE00BFPM9N11
T976D05D096B0,IE00BD0NCN62
T87B1F5E1989D,IE00BFPM9N11
T1E3E57D2D5F0,LU0303706948
T90597D1B56AB,ES0110119031
T62D17BCBA280,IE00BD0NCN62
TC5F0E6E2A6EC,ES0110119031
T531C40CE39A6,ES0110119031
TD066864D0DFC,ES0110119031
T8F0079775A4C,ES0110119031
T757BB0B71837,IE00BYX5M476
TA68C972A5F5E,ES0110119031
T043E9BAC9695,ES0110119031
TAFFCB7F7EF19,IE00BYX5M476
T1EE140B83277,IE00BYX5M476
T21F23344924A,IE00BYX5M476
T8CF5C3B95F98,IE00BYX5M476
T7F6918153B36,ES0110119031
T19B2D4F0A1BE,ES0110119031
T33CDCF06CFB5,IE00BYX5M476
T7830443B5AAF,ES0110119031
T321CCA286FA8,ES0110119031
TBC92DA063D8D,IE00BYX5M476
TC96B9E9894E7,ES0110119031
TAD7C00A474FE,ES0110119031
TE6ED52E39FEF,ES0110119031
T70278CDB81E8,ES0110119031
T61410F8CF30D,ES0110119031
TCC6AEDDDCA11,ES0110119031
T39979C04CBE1,IE00BYX5M476
TE688E002922A,IE00BD0NCN62
TEBFAA79027E3,IE00BD0NCN62
TA01919E0F54E,IE00BD0NCN62
TD9EF458FAA6D,IE00BD0NCN62
TCF587B6C915E,IE00BD0NCN62
TF4518E16137D,LU0996175948
T88C2B96A314A,IE00BD0NCN62
TA751178D951A,IE00BD0NCN62
TA9CEA1E059C9,IE00BD0NCN62
T5C8161FB118A,IE00BD0NCN62
TE2C2E168F2C6,IE00BD0NCN62
T7BD523FDF2CD,IE00BD0NCN62
TD0945E155F6C,IE00BD0NCN62
TD9E700A683C1,IE00BD0NCN62
T605F2D2B11B2,LU0996175948
T2D0B51A28921,IE00BD0NCN62
TF196AC26FF06,IE00BD0NCN62
T4814C8CE4AD9,IE00BD0NCN62
T1F4314D681A4,IE00BD0NCN62
T43E768944EE7,IE00BYX5NK04
TEC7A2BEAC962,IE00BD0NCN62
T802E7A4BD352,IE00BD0NCN62
T75C550AD2A59,LU0252964944
TF317A9492F24,LU0252964944
TEEBC8B8AE738,LU0252964944
T5288D7275828,IE00BYX5M476
TFEF988DE886C,LU0252964944
T4AFB7008CD16,ES0110119031
TD2BA85BE3605,LU0252964944
T6A0F297AFAAF,IE00BYX5M476
TED54FAF697CD,IE00BYX5M476
T78CE3AB6AA56,LU0996175948
T2E8D65EE1C6B,IE00BYX5M476
T398D7F140570,LU0996175948
T733CF36979DF,LU0996175948
T2E76EEC05F7C,IE00BYX5M476
TB8322B7C66B4,IE00BYX5M476
TC2E5C21639C7,IE00BYX5M476
TD0BCCE7EEB74,LU0996175948
TBA8216F33D20,IE00BD0NCN62
T92E7CA091268,ES0172242002
T6865E321B77C,ES0172242002
T767BEC4CE156,IE00BD0NCN62
T9EA9CFEC4333,IE00BD0NCN62
TD5BC0F5D091F,IE00BD0NCN62
T55AA82145C2A,LU0303706948
T42900C4C8FA8,IE00BD0NCN62
TFA410E69890C,ES0172242002
T2079EDE85644,IE00BD0NCN62
T08F1DBC39614,ES0172242002
T7C914BC5A54C,IE00BD0NCN62
T40A3591F907D,LU0303706948
TEDDD914732D4,IE00BD0NCN62
T21281D96099B,LU0252964944
T5985580AE0BD,LU0996175948
TC20749208DD6,LU0252964944
T754B1C3E16E1,LU0252964944
TBC550C711A12,IE00BD0NCN62
T59C1608ACA7D,LU0996175948
TB7866DCEE98A,LU0996175948
T5ACF6C9EC7F3,LU0252964944
T57EC053CB9C7,LU0252964944
T33E026E0FA0B,ES0110119031
TE2301B28E836,LU0252964944
TF83CA9154D0D,LU2349459045
T0534DCB3C175,LU0252964944
T03D0E34C0DD4,ES0110119031
TF0DD597B7CA8,ES0110119031
TE6C0315605C4,ES0110119031
T478146C635F7,ES0110119031
TA74997EF7643,LU0252964944
TB4C7C58565B0,LU0252964944
TF27CCD8BE23F,LU0252964944
TB48B961F96F6,LU0252964944
TD3DB3182065E,LU0996175948
T63A96A0EE134,LU0252964944
TC4F6935463A5,LU0252964944
TD3C464A1FD70,LU0252964944
TE190E4BA27FD,LU2349459045
TC24E8B0B6DD9,LU0996175948
T5C2870BD7CB5,LU2349459045
T97F4B4DC0529,ES0110119031
TF90E101DE0DB,IE00BYX5NK04
T064339A3596A,ES0110119031
T199585BBA698,LU0996175948
T0958FD29CBBC,LU2349459045
T5C0C3FEF5C41,IE00BD0NCN62
TFBD63172FD81,ES0110119031
T33EF01B59A1C,LU0252964944
T8517D885273F,LU0252964944
TB63A913FDFFC,LU0996175948
TF298C8C70E96,LU0252964944
TC75B75E5984A,LU2349459045
T4E9A77621181,ES0172242002
TA7DCF95C465E,IE00BD0NCN62
T340CDC91273E,LU0996175948
TA43922AD5663,LU0996175948
T35A24D71ADE6,LU0996175948
T2CFDB3D1FC3A,IE00BD0NCN62
TFCA0691F9888,LU0996175948
T7BBEF927A310,LU0996175948
TB3E08CDDB1CE,IE00BD0NCN62
TA1F12DD0BB47,ES0172242002
TF1E4C3D7D091,LU0996175948
TDCCCE2805CDC,IE00BD0NCN62
TA5085CB4D7FC,IE00BD0NCN62
T788ED70D2D32,LU0996175948
TA414801A8C63,IE00BD0NCN62
T85EB68348F93,LU0303706948
T431A05768A1A,IE00BD0NCN62
T42DA04EF5520,IE00BD0NCN62
TD03D108503CB,IE00BD0NCN62
T0176310CC13C,ES0172242002
TA2FAFE306BEC,LU0303706948
TA604AF5B5469,LU0996175948
TA8704280B5D7,LU0303706948
T31E3A8685E1B,LU0996175948
T6F2A8C105DF9,ES0172242002
T8AD30BFD1D73,IE00BD0NCN62
TED33ECD84A4D,IE00BD0NCN62
TC4063056DEB2,LU0303706948
TD7847EFB0A15,LU0996175948
T4EF966A17794,ES0172242002
TF21393BAEE3A,LU0996175948
TC02467E50C10,LU0996175948
T971686850C4C,IE00BD0NCN62
T926A32B0E174,IE00BYX5M476
TAE7878F6FEDC,IE00BYX5M476
T121BCDCE377A,IE00BYX5M476
T4F515DF01361,LU0303706948
T1D33814F426B,ES0110119031
T3167289F16DB,IE00BYX5M476
T4F970CA4448B,IE00BYX5M476
TBADF6593429C,ES0110119031
T02EE57357216,ES0110119031
TFB00ED799162,ES0110119031
T0C158A9B3056,LU0303706948
T20F5871106BC,ES0110119031
TEF7BF0A0965E,ES0110119031
T53F3C7A45B1C,ES0110119031
TB1E582CE0B6D,LU0303706948
TC7D2FFD01F0B,ES0110119031
T04B1D8D328E4,ES0110119031
T9D6FF2AAA079,ES0172242002
TD3CE27110AB1,IE00BFPM9N11
TE8E274598130,IE00BFPM9N11
T5189EAF4BB31,ES0172242002
TB2663779D3C9,ES0110119031
TBAD239515F6D,ES0110119031
TE76A1EFD900A,IE00BFPM9N11
T2699D23F22D9,IE00BFPM9N11
TA70EF69136E7,IE00BFPM9N11
TB9FBC5C4AA23,IE00BFPM9N11
T9C9C6243484A,IE00BFPM9N11
T9B49A39680A1,IE00BFPM9N11
T753302983248,IE00BFPM9N11
TB583A41F2B47,IE00BFPM9N11
T4FC03BF52C18,IE00BFPM9N11
T0A6E7942F29F,IE00BFPM9N11
TCC9F5652F4A9,IE00BFPM9N11
T2C2B9FAD6AF1,IE00BFPM9N11
T196A607F979E,IE00BFPM9N11
T03E3ED7235E7,IE00BFPM9N11
TC955F701B740,IE00BFPM9N11
T2F50C7E46E62,IE00BYX5M476
T5015DFDEB1F6,IE00BFPM9N11
T59548A4541E9,IE00BFPM9N11
TEBC2B9616B6C,IE00BFPM9N11
TCC6A5291CC09,ES0172242002
T1522989AC20B,IE00BFPM9N11
T9FB5B36371E4,IE00BFPM9N11
T5F9624A7ACFD,IE00BFPM9N11
T11C7FF1B7E82,IE00BFPM9N11
T6DA089A5AA6D,IE00BYX5M476
TCF85504234F6,IE00BFPM9N11
TE9E6DEE5B410,ES0110119031
TEFCB1402E7D1,IE00BYX5M476
TB10D7813BAAC,IE00BFPM9N11
TDC19F081D784,ES0110119031
TA655B5DC2401,IE00BFPM9N11
TA11B3CF1B9FB,IE00BFPM9N11
T1A635E8E0EBC,IE00BFPM9N11
TAF5CFEE2A491,LU2349459045
TC2C5F4543836,IE00BD0NCN62
T0E5E721AC938,LU2349459045
TA705A78D25B0,LU0996175948
TACDB26D578DA,IE00BD0NCN62
TE88AFEA30541,LU2349459045
TC8018EDCE4FC,LU2349459045
TA5A32AA41D69,ES0110119031
TF03FF051E11C,IE00BYX5M476
T9B4825C0BF76,IE00BD0NCN62
T485AD08141F6,LU2349459045
TA480341A363B,LU0996175948
T566A7A417D2D,LU2349459045
T5CE2B1180BCA,LU0996175948
T0B5DF4C9D326,LU2349459045
TAF1529D4F35A,IE00BD0NCN62
T3B9BD527C681,ES0110119031
T108F1C91B1CC,LU0303706948
TAC4EE6566445,IE00BYX5M476
T3FA467A3C8B6,IE00BYX5M476
T2F0FFD0F55B4,IE00BYX5M476
T886A1F1CE1AA,LU0303706948
T4CDA7051314F,LU0303706948
T51E5A949AEAE,LU0303706948
T82056081DE71,IE00BYX5M476
T425F31ECB488,IE00BYX5M476
T588CB263C85F,IE00BYX5M476
T889526C40C1B,IE00BYX5M476
T344AB9B75EA1,LU0303706948
TD0A6B6285F1F,LU0303706948
T987B599FD9FE,IE00BYX5M476
T0EE64D0875D7,LU0303706948
T118741744C20,IE00BYX5M476
TA6F5A73D1C7C,LU0303706948
T0B56F12E48CD,IE00BYX5M476
TE644D8E2C801,LU0303706948
T2F81BCEBAE22,IE00BYX5M476
TC3D6F7469CFE,LU0303706948
TF29DC22AE533,LU0303706948
T242F1B0E7D38,ES0172242002
TABE4C9AE797E,ES0172242002
TD9A85772DDEB,ES0172242002
T5BE6EFF1C675,ES0172242002
TE35DFE833832,LU0996175948
T1E25105DCB9A,LU0996175948
TCAA719E74DB3,ES0172242002
T7C2E8BC9C507,ES0172242002
TB8FB6DF25326,ES0172242002
TCD8E512F2499,ES0172242002
TBF0A56F039DF,ES0172242002
TA4DD7CD021CB,ES0172242002
TEF89E774AE47,ES0172242002
T5B3F5C4D85AF,ES0172242002
TD8D1AC4426D2,LU0996175948
TBABBA504BDB2,LU0996175948
T55D86A5083BA,LU0996175948
TA84B099CBB2B,ES0172242002
T432374191450,ES0172242002
TCD58727D4B2B,LU0996175948
TFFA63CEA73CD,IE00BYX5NK04
T2420AEBD556A,IE00BYX5M476
T12947A274E4E,IE00BYX5M476
T7C96123D4D14,IE00BYX5M476
T6124F41F3E37,IE00BYX5NK04
T0DBADA4270B9,ES0172242002
T3C355E88C135,IE00BYX5NK04
TB588D1F2844C,IE00BYX5NK04
T8E254484C6B0,IE00BYX5M476
TE26E865C401E,LU0303706948
T3A26A4047D4F,ES0172242002
TCA70E2528310,IE00BYX5M476
T6BE3684F0C28,IE00BYX5NK04
T274A50CA1D9F,LU0303706948
TFE90F1011119,IE00BYX5M476
T7A7FAB7B7EEA,IE00BYX5NK04
TDCD008F68B39,IE00BYX5M476
T92C794817794,IE00BYX5M476
TB23CA6C0063D,IE00BYX5M476
TCFC0AA480B54,IE00BYX5M476
TC03D75F2EEAE,IE00BYX5M476
T7A2FC0FC00A3,ES0172242002
TD498FA3C53B6,IE00BYX5M476
TF5C31233F4BB,IE00BYX5NK04
TEBFE14653217,IE00BYX5NK04
T678FB46A1C9C,IE00BYX5M476
TD7F91418E65E,IE00BYX5M476
TC457425FFB04,ES0172242002
T2501CE996414,IE00BYX5NK04
T94D7C96DCEDE,ES0172242002
T76DDFBB6387E,IE00BYX5M476
T9985D3BF6D20,IE00BYX5NK04
T45770AAF0A8F,LU0996175948
TF2CFBE3319B6,LU0996175948
T359035CEC41F,LU0996175948
T894A019513F1,LU0996175948
T357B90898495,LU0252964944
TA789198D4717,LU0996175948
TF26F5AEAF44E,LU0996175948
TA00277E7A8C9,LU0303706948
T99A512F2AF5F,LU0996175948
T69CB6ED08CFF,LU0996175948
T1F2C0E0E3A7F,LU0996175948
TEDD3A549B129,LU0996175948
T73D07BEA389F,LU0996175948
T76F050304C03,IE00BFPM9N11
TE94E4CE4E404,IE00BD0NCN62
TB7288BF9FE1C,IE00BD0NCN62
TC42FAFE7308F,LU2349459045
T50E305B7F205,LU2349459045
T96FF9306CDD3,IE00BFPM9N11
T3233942B6967,IE00BFPM9N11
T449155FD380C,IE00BD0NCN62
T7E4947771FDB,LU2349459045
TA2A079D06D6C,IE00BFPM9N11
TF2DC683D76FD,LU2349459045
T37AA48FB883D,IE00BD0NCN62
TCD81390C93C0,LU2349459045
T83BC54E7F402,LU0996175948
TC48735BA5C98,IE00BYX5M476
T0045687C0660,LU0996175948
TA132992EE6A6,IE00BD0NCN62
T28E339E93A87,IE00BFPM9N11
T810B375FF776,LU2349459045
T2152C6D93F8C,IE00BFPM9N11
T119C773587C9,IE00BD0NCN62
T22ED97B08D28,IE00BD0NCN62
TFD216E4A01AE,IE00BD0NCN62
T062FE82F222B,IE00BD0NCN62
TE73EBB3F97DB,IE00BD0NCN62
T99530B02E6B8,IE00BD0NCN62
T89C4FBF4D602,IE00BD0NCN62
TEA06F521B927,IE00BD0NCN62
TECD440762D4A,IE00BD0NCN62
TA1F80C9445D2,IE00BD0NCN62
T72C32DCCE559,IE00BD0NCN62
T8B05B4A58999,IE00BD0NCN62
T9BAE5CC0959A,IE00BD0NCN62
T800E768C780C,IE00BD0NCN62
T63BFA17ADB7C,LU0252964944
T676ECC5F4B46,IE00BFPM9N11
T41DA1EB60D8B,ES0172242002
TD687A0AF512D,LU0252964944
T60DFF5CB2AEF,LU0252964944
T1040D74A12E7,IE00BFPM9N11
T0A5F8FBDCAD1,IE00BFPM9N11
T3A4F8067BD8C,LU0252964944
TB003F4216558,ES0172242002
TDF3E2F36ABB3,LU0252964944
TA7AEF6B6D430,IE00BFPM9N11
T949E4E265ED5,ES0172242002
T783C1E853CCE,LU0252964944
TCBB873DCBAE3,IE00BFPM9N11
T3E496EE47F37,LU0252964944
