tx_id,date,amount_eur,nav,units,currency
T54E8F1697B69,2023-03-21,584.82,103.68741,5.64023796,EUR
T98F6030D82C5,2023-05-29,265.56,97.432464,2.72555287,EUR
T474C23F001BC,2023-06-20,436.23,95.757003,4.55563015,EUR
TE750189DAFF1,2023-07-25,403.04,103.244518,3.90369778,EUR
T07D3F5FD6867,2023-08-21,549.91,106.822286,5.14786014,EUR
T44D6337E14C8,2023-08-26,550.87,79.294922,6.94708044,EUR
T6B3CAD3F0D66,2023-10-03,49.58,115.510784,0.42922579,EUR
T41FB70752662,2024-02-29,292.24,96.349984,3.03305907,EUR
TCFE680C9DA45,2024-03-03,516.13,98.6264,5.23319671,EUR
T8CC5C8806597,2024-08-25,257.26,73.696568,3.49081237,EUR
T3B9814E2E74C,2024-10-20,359.63,100.223812,3.58830279,EUR
T9075A6AD17F7,2024-10-22,614.59,70.775122,8.68372501,EUR
TD286A798D930,2025-05-26,371.9,87.992636,4.22649882,EUR
TD62D1390213D,2025-07-26,1084.5,84.107638,12.89417073,EUR
T77B89189E5DD,2025-08-26,814.99,90.339886,9.02134803,EUR
T73944D3C1C46,2025-11-20,320.22,100.33904,3.19138562,EUR
T60BCAB9D3C90,2025-12-04,301.69,103.417373,2.91720383,EUR
T4F15C01066A6,2023-01-05,716.97,96.491265,7.43037707,EUR
T61149EA469B5,2023-06-02,592.68,86.547468,6.84807247,EUR
T13D1E5D19679,2023-08-29,935.55,92.682698,10.09414046,EUR
TF36A4B90726A,2023-10-22,212.97,94.666759,2.24972815,EUR
TF7BC6134E4B8,2023-11-03,444.43,109.248832,4.06803497,EUR
T1542FD2CBE38,2024-01-19,143.82,117.654913,1.22234923,EUR
T52551481C929,2024-01-24,576.91,118.52925,4.86722612,EUR
TB414AC5A02E8,2024-02-24,344.03,121.24093,2.83755966,EUR
T06348AF2E723,2024-03-24,432.11,99.757094,4.3316647,EUR
TD30C2576F6CF,2024-03-27,313.62,116.611493,2.6894132,EUR
TBC772FDDB2CC,2024-04-22,289.95,111.915281,2.59075509,EUR
T8E911EB33156,2024-04-28,182.5,115.401522,1.58145013,EUR
TDC0EEECA6CD2,2024-05-30,633.18,114.341029,5.53765073,EUR
T105268D1621C,2024-08-07,1069.78,114.205459,9.36717992,EUR
TFC9071E86D04,2024-10-30,230.54,113.975334,2.02273353,EUR
TE69AC13C0E67,2024-11-12,530.11,128.126538,4.13741078,EUR
T6997ADD16802,2025-03-30,483.99,96.875618,4.99602705,EUR
